Material,Language,MaterialDescription
MAT001,EN,2018 Toyota Camry SE
MAT002,EN,2019 Honda Civic EX
MAT003,EN,2020 Ford Ranger XLT
MAT004,EN,2017 Mazda CX-5 Touring
MAT005,EN,2019 Toyota Hilux SR5
MAT006,EN,2016 Hyundai Tucson Elite
MAT007,EN,2018 Subaru Outback Premium
MAT008,EN,2020 Nissan Qashqai ST
MAT009,EN,2017 Ford F-150 Lariat
MAT010,EN,2019 Volkswagen Golf GTI
MAT011,EN,2018 Kia Sorento SLi
MAT012,EN,2020 Toyota RAV4 Cruiser
MAT013,EN,2016 Isuzu D-Max LS
MAT014,EN,2019 Holden Commodore RS
MAT015,EN,2017 Mitsubishi Outlander LS
MAT016,EN,2018 Toyota Corolla Ascent
MAT017,EN,2020 Ford F-250 Super Duty
MAT018,EN,2019 Honda CR-V EX
MAT019,EN,2017 Subaru Forester XT
MAT020,EN,2018 Nissan Navara ST-X
MAT021,EN,2019 Toyota LandCruiser Prado
MAT022,EN,2020 Mazda 3 G25
MAT023,EN,2018 Hyundai Santa Fe Active
MAT024,EN,2019 Volkswagen Tiguan Comfort
MAT025,EN,2017 Toyota Tundra SR5
MAT026,EN,2018 Holden Astra RS-V
MAT027,EN,2020 Kia Sportage SX
MAT028,EN,2019 Ford Mustang EcoBoost
MAT029,EN,2017 Mitsubishi Triton GLS
MAT030,EN,2018 Toyota Yaris Ascent
