RFQQuoteID,PurchaseOrder,PurchaseOrderItem,Supplier,Material,NetPrice,PriceUnit,DeliveryDate,ValidityDate,QuoteStatus,Currency,PaymentTerms,DeliveryTerms,Comments
RFQ0001,4500000005,00010,VEND001,MAT009,34500.00,1,2025-09-15,2025-08-31,SUBMITTED,AUD,NT30,EXW,Excellent condition luxury sedan with full service history
RFQ0002,4500000005,00010,VEND002,MAT009,33800.00,1,2025-09-20,2025-08-31,SUBMITTED,AUD,NT30,CIF,Premium vehicle with extended warranty included
RFQ0003,4500000005,00010,VEND003,MAT009,35200.00,1,2025-09-10,2025-08-31,SUBMITTED,AUD,NT30,FOB,Top quality vehicle with comprehensive inspection report
RFQ0004,4500000005,00020,VEND001,MAT010,12800.00,1,2025-09-15,2025-08-31,SUBMITTED,AUD,NT30,EXW,Compact car in good condition
RFQ0005,4500000005,00020,VEND002,MAT010,12500.00,1,2025-09-20,2025-08-31,SUBMITTED,AUD,NT30,CIF,Economy vehicle with low mileage
RFQ0006,4500000005,00020,VEND003,MAT010,13100.00,1,2025-09-10,2025-08-31,SUBMITTED,AUD,NT30,FOB,Well-maintained city car
RFQ0007,4500000010,00010,VEND004,MAT019,20500.00,1,2025-09-25,2025-08-31,SUBMITTED,AUD,NT30,EXW,Mid-size vehicle perfect for family use
RFQ0008,4500000010,00010,VEND006,MAT019,20800.00,1,2025-09-22,2025-08-31,SUBMITTED,AUD,NT30,CIF,Reliable sedan with excellent fuel efficiency
RFQ0009,4500000010,00010,VEND007,MAT019,20200.00,1,2025-09-28,2025-08-31,SUBMITTED,AUD,NT30,FOB,Quality assured vehicle with detailed maintenance records
RFQ0010,4500000010,00020,VEND004,MAT020,15800.00,1,2025-09-25,2025-08-31,SUBMITTED,AUD,NT30,EXW,Compact SUV in excellent condition
RFQ0011,4500000010,00020,VEND006,MAT020,15500.00,1,2025-09-22,2025-08-31,SUBMITTED,AUD,NT30,CIF,Urban vehicle with modern features
RFQ0012,4500000010,00020,VEND007,MAT020,16200.00,1,2025-09-28,2025-08-31,SUBMITTED,AUD,NT30,FOB,Well-equipped crossover vehicle
RFQ0013,4500000015,00010,VEND008,MAT029,26500.00,1,2025-09-18,2025-08-31,SELECTED,AUD,NT30,EXW,Premium sports sedan - best value proposition
RFQ0014,4500000015,00010,VEND009,MAT029,27200.00,1,2025-09-20,2025-08-31,REJECTED,AUD,NT30,CIF,High-performance vehicle but price exceeded budget
RFQ0015,4500000015,00010,VEND011,MAT029,26800.00,1,2025-09-15,2025-08-31,REJECTED,AUD,NT30,FOB,Quality vehicle but delivery too late
RFQ0016,4500000015,00020,VEND008,MAT030,12800.00,1,2025-09-18,2025-08-31,SELECTED,AUD,NT30,EXW,Economy car with excellent reliability record
RFQ0017,4500000015,00020,VEND009,MAT030,13100.00,1,2025-09-20,2025-08-31,REJECTED,AUD,NT30,CIF,Good condition but price not competitive
RFQ0018,4500000015,00020,VEND011,MAT030,12700.00,1,2025-09-15,2025-08-31,REJECTED,AUD,NT30,FOB,Excellent price but delivery concerns
RFQ0019,4500000020,00010,VEND012,MAT009,34200.00,1,2025-09-12,2025-08-31,SELECTED,AUD,NT30,EXW,Final selected luxury vehicle - best overall package
RFQ0020,4500000020,00010,VEND013,MAT009,34800.00,1,2025-09-15,2025-08-31,REJECTED,AUD,NT30,CIF,High-end vehicle but exceeded budget limits
RFQ0021,4500000020,00010,VEND014,MAT009,35500.00,1,2025-09-10,2025-08-31,REJECTED,AUD,NT30,FOB,Premium quality but too expensive
RFQ0022,4500000020,00020,VEND012,MAT010,12600.00,1,2025-09-12,2025-08-31,SELECTED,AUD,NT30,EXW,Compact car - winner based on total package
RFQ0023,4500000020,00020,VEND013,MAT010,12900.00,1,2025-09-15,2025-08-31,REJECTED,AUD,NT30,CIF,Good vehicle but price not optimal
